budget,id,original_title,revenue,release_date,month,year,popularity,runtime,status,title,vote_average,vote_count
1000000,18712,Sands of Iwo Jima,7800000,12/14/1949,14,1949,3.851,100,Released,Sands of Iwo Jima,6.2,33
3768785,25209,Annie Get Your Gun,8000000,5/17/1950,17,1950,1.726175,107,Released,Annie Get Your Gun,7.3,22
1800000,702,A Streetcar Named Desire,8000000,9/18/1951,18,1951,14.884756,125,Released,A Streetcar Named Desire,7.6,281
8250000,11620,Quo Vadis,30000000,11/8/1951,8,1951,7.973109,171,Released,Quo Vadis,7,63
2300000,17820,Show Boat,11000000,7/13/1951,13,1951,1.606314,107,Released,Show Boat,6.9,18
2540800,872,Singin' in the Rain,7200000,4/10/1952,10,1952,36.556954,103,Released,Singin' in the Rain,7.8,727
730000,288,High Noon,8000000,3/27/1952,27,1952,18.644023,85,Released,High Noon,7.6,334
0,36334,Deadline - U.S.A.,0,3/14/1952,14,1952,0.225627,87,Released,Deadline - U.S.A.,6.9,17
4000000,27191,The Greatest Show on Earth,36000000,1/10/1952,10,1952,8.988455,152,Released,The Greatest Show on Earth,6.6,50
1650000,11426,From Here to Eternity,30500000,8/4/1953,4,1953,6.915201,118,Released,From Here to Eternity,7.2,133
1250000,19997,Niagara,8500000,1/21/1953,21,1953,9.903992,92,Released,Niagara,6.7,79
210000,35073,"The Beast from 20,000 Fathoms",5000000,6/13/1953,13,1953,2.043661,80,Released,"The Beast from 20,000 Fathoms",6.7,41
4100000,29912,The Robe,36000000,9/16/1953,16,1953,4.028875,135,Released,The Robe,6.4,42
2000000,346,七人の侍,271841,4/26/1954,26,1954,39.756748,207,Released,Seven Samurai,8.2,878
910000,654,On the Waterfront,9600000,6/22/1954,22,1954,16.015599,108,Released,On the Waterfront,8,357
5000000,173,"20,000 Leagues Under the Sea",28200000,12/23/1954,23,1954,9.358197,127,Released,"20,000 Leagues Under the Sea",6.8,157
5000000,24973,The Egyptian,15000000,8/25/1954,25,1954,4.079111,139,Released,The Egyptian,6,11
0,48035,Ordet,0,1/9/1955,9,1955,3.225189,126,Released,Ordet,7.8,65
1200000,11219,The Trouble with Harry,7000000,10/3/1955,3,1955,6.920873,99,Released,The Trouble with Harry,6.9,149
4500000,10339,Moby Dick,10400000,6/27/1956,27,1956,5.224593,116,Released,Moby Dick,6.9,89
4000000,40494,Trapeze,14400000,5/30/1956,30,1956,1.379354,105,Released,Trapeze,6.4,22
1000000,39833,Love Me Tender,9000000,11/15/1956,15,1956,1.444258,89,Released,Love Me Tender,5.5,21
350000,389,12 Angry Men,1000000,3/25/1957,25,1957,59.259204,96,Released,12 Angry Men,8.2,2078
3000000,826,The Bridge on the River Kwai,33300000,10/2/1957,2,1957,23.109959,161,Released,The Bridge on the River Kwai,7.7,542
3000000,261,Cat on a Hot Tin Roof,17570324,2/17/1958,17,1958,16.553594,108,Released,Cat on a Hot Tin Roof,7.6,165
2883848,239,Some Like It Hot,25000000,3/18/1959,18,1959,39.30982,122,Released,Some Like It Hot,8,808
3500000,27029,The Nun's Story,12800000,6/18/1959,18,1959,3.281509,149,Released,The Nun's Story,7.4,46
5000000,29996,Solomon and Sheba,12200000,12/25/1959,25,1959,0.835617,139,Released,Solomon and Sheba,5.4,8
806948,539,Psycho,32000000,6/16/1960,16,1960,93.067866,109,Released,Psycho,8.2,2320
3000000,284,The Apartment,25000000,6/15/1960,15,1960,22.889294,125,Released,The Apartment,8.1,483
3000000,22013,Elmer Gantry,10400000,6/19/1960,19,1960,6.734965,146,Released,Elmer Gantry,7.3,41
3000000,821,Judgment at Nuremberg,10000000,12/1/1961,1,1961,13.338539,186,Released,Judgment at Nuremberg,7.6,155
2000000,990,The Hustler,7600000,9/25/1961,25,1961,17.639478,134,Released,The Hustler,7.6,240
2900000,248,Pocketful of Miracles,5000000,12/18/1961,18,1961,3.370225,136,Released,Pocketful of Miracles,7.3,25
6000000,1725,West Side Story,43656822,10/18/1961,18,1961,23.431117,152,Released,West Side Story,7,389
4000000,11536,The Misfits,8200000,1/1/1961,1,1961,2.930058,124,Released,The Misfits,6.8,72
2000000,595,To Kill a Mockingbird,13129846,12/25/1962,25,1962,22.139842,129,Released,To Kill a Mockingbird,8,657
15000000,947,Lawrence of Arabia,69995385,12/10/1962,10,1962,41.286336,216,Released,Lawrence of Arabia,7.8,851
3200000,11697,The Man Who Shot Liberty Valance,8000000,4/22/1962,22,1962,11.735287,123,Released,The Man Who Shot Liberty Valance,7.4,265
2000000,802,Lolita,9250000,6/13/1962,13,1962,23.962109,153,Released,Lolita,7.3,395
10000000,9289,The Longest Day,50100000,9/25/1962,25,1962,19.524972,178,Released,The Longest Day,7.2,234
950000,646,Dr. No,59600000,10/4/1962,4,1962,48.901542,110,Released,Dr. No,6.9,940
62000,33468,The Brain That Wouldn't Die,0,2/25/1962,25,1962,2.407048,82,Released,The Brain That Wouldn't Die,4.4,32
4000000,5925,The Great Escape,11744471,6/20/1963,20,1963,35.061467,172,Released,The Great Escape,7.8,717
2500000,24748,Hud,10000000,5/29/1963,29,1963,6.82919,112,Released,Hud,7.5,66
9400000,11576,"It's a Mad, Mad, Mad, Mad World",60000000,11/7/1963,7,1963,14.562991,163,Released,"It's a Mad, Mad, Mad, Mad World",7,140
2000000,657,From Russia with Love,78898765,10/11/1963,11,1963,41.298723,115,Released,From Russia with Love,6.9,760
31115000,8095,Cleopatra,71000000,6/12/1963,12,1963,13.244365,248,Released,Cleopatra,6.7,146
17000000,27759,55 Days at Peking,10000000,5/6/1963,6,1963,3.321095,154,Released,55 Days at Peking,6.3,36
1000000,5769,Tom Jones,37600000,10/6/1963,6,1963,2.833166,128,Released,Tom Jones,6.1,39
2686000,15875,Donovan's Reef,6600000,6/12/1963,12,1963,1.897263,109,Released,Donovan's Reef,6,30
1800000,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272,1/29/1964,29,1964,41.996783,95,Released,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1442
200000,391,Per un pugno di dollari,14500000,9/12/1964,12,1964,38.771062,99,Released,A Fistful of Dollars,7.6,883
6000000,433,Mary Poppins,102272727,8/27/1964,27,1964,59.961523,139,Released,Mary Poppins,7.4,1183
17000000,11113,My Fair Lady,72070731,10/21/1964,21,1964,20.786616,170,Released,My Fair Lady,7.4,352
560000,704,A Hard Day's Night,12299668,7/6/1964,6,1964,10.730056,88,Released,A Hard Day's Night,7.3,168
2500000,658,Goldfinger,124881062,9/17/1964,17,1964,47.812466,110,Released,Goldfinger,7.2,987
5800000,3482,The Train,6800000,9/21/1964,21,1964,4.49029,133,Released,The Train,7.2,72
120000,40652,Une femme mariée: Suite de fragments d'un film tourné en 1964,0,12/4/1964,4,1964,1.112792,95,Released,The Married Woman,7.1,20
0,91721,Nothing But a Man,0,1/1/1964,1,1964,0.008453,95,Released,Nothing But a Man,7,2
19000000,17277,The Fall of the Roman Empire,4750000,3/24/1964,24,1964,4.229942,188,Released,The Fall of the Roman Empire,6,33
300000,2786,Pierrot le fou,0,8/29/1965,29,1965,7.791898,110,Released,Pierrot le Fou,7.6,127
0,13187,A Charlie Brown Christmas,0,12/9/1965,9,1965,8.701183,25,Released,A Charlie Brown Christmas,7.5,153
8200000,15121,The Sound of Music,286214286,3/2/1965,2,1965,37.960289,174,Released,The Sound of Music,7.4,941
11000000,907,Doctor Zhivago,111858363,12/22/1965,22,1965,12.854853,197,Released,Doctor Zhivago,7.4,247
5500000,660,Thunderball,141195658,12/16/1965,16,1965,31.036,130,Released,Thunderball,6.5,562
20000000,2428,The Greatest Story Ever Told,15473333,2/15/1965,15,1965,3.011205,199,Released,The Greatest Story Ever Told,6.5,41
3800000,29715,Major Dundee,14873,4/7/1965,7,1965,3.490215,123,Released,Major Dundee,6.2,38
0,41830,The Party's Over,0,4/22/1965,22,1965,0.118324,94,Released,The Party's Over,6.1,6
1200000,429,"Il buono, il brutto, il cattivo",6000000,12/23/1966,23,1966,88.377076,161,Released,"The Good, the Bad and the Ugly",8.1,2311
3900000,874,A Man for All Seasons,28350000,12/12/1966,12,1966,9.541688,120,Released,A Man for All Seasons,7.5,89
3000000,5780,Torn Curtain,13000000,7/13/1966,13,1966,7.924982,128,Released,Torn Curtain,6.4,120
3500000,26268,Harper,12000000,2/23/1966,23,1966,2.938973,121,Released,Harper,6.2,35
1377800,2661,Batman,0,7/30/1966,30,1966,9.815394,105,Released,Batman,6.1,203
0,17768,A Funny Thing Happened on the Way to the Forum,0,10/16/1966,16,1966,8.902102,99,Released,A Funny Thing Happened on the Way to the Forum,6.1,24
3500000,18900,In Cold Blood,13007551,12/14/1967,14,1967,7.821438,134,Released,In Cold Blood,7.4,82
2500000,26039,Point Blank,3200000,8/30/1967,30,1967,5.164423,92,Released,Point Blank,7.1,95
9500000,667,You Only Live Twice,111584787,6/12/1967,12,1967,28.675891,117,Released,You Only Live Twice,6.5,531
0,12602,Die Schlangengrube und das Pendel,0,10/5/1967,5,1967,1.296784,85,Released,The Torture Chamber of Dr. Sadism,6.3,12
5000000,335,C'era una volta il West,5321508,12/21/1968,21,1968,49.333137,175,Released,Once Upon a Time in the West,8.1,1128
10500000,62,2001: A Space Odyssey,68700000,4/10/1968,10,1968,86.201184,149,Released,2001: A Space Odyssey,7.9,2998
3200000,805,Rosemary's Baby,33395426,6/12/1968,12,1968,26.180367,136,Released,Rosemary's Baby,7.5,863
114000,10331,Night of the Living Dead,30000000,10/1/1968,1,1968,25.666029,96,Released,Night of the Living Dead,7.5,580
10000000,17917,Oliver!,37402877,9/26/1968,26,1968,8.305998,153,Released,Oliver!,7,103
1800000,4929,Hang 'em High,6800000,7/31/1968,31,1968,11.756943,114,Released,Hang 'em High,6.7,192
950000,29146,Charly,814666,9/23/1968,23,1968,0.178689,103,Released,Charly,6.6,28
0,27983,"Yours, Mine and Ours",0,4/24/1968,24,1968,2.094151,111,Released,"Yours, Mine and Ours",6.2,26
9000000,8069,Barbarella,2500000,10/10/1968,10,1968,14.171759,98,Released,Barbarella,5.7,146
1455000,39209,Shalako,2620000,11/6/1968,6,1968,3.598457,113,Released,Shalako,5.4,12
6244087,576,The Wild Bunch,638641,6/17/1969,17,1969,14.970654,145,Released,The Wild Bunch,7.6,259
6000000,642,Butch Cassidy and the Sundance Kid,102308889,9/23/1969,23,1969,24.499996,110,Released,Butch Cassidy and the Sundance Kid,7.4,650
3600000,3116,Midnight Cowboy,44785053,5/25/1969,25,1969,21.119209,113,Released,Midnight Cowboy,7.4,299
0,45138,Gli intoccabili,0,4/1/1969,1,1969,0.700127,116,Released,Machine Gun McCain,7.3,6
0,1651,La sirène du Mississipi,0,6/18/1969,18,1969,3.654018,123,Released,Mississippi Mermaid,6.7,32
6500000,668,On Her Majesty's Secret Service,81974493,12/12/1969,12,1969,25.289665,142,Released,On Her Majesty's Secret Service,6.5,456
8000000,42618,Sweet Charity,20000000,1/1/1969,1,1969,0.709143,149,Released,Sweet Charity,6.5,15
20000000,20391,Paint Your Wagon,31678778,10/15/1969,15,1969,7.902536,158,Released,Paint Your Wagon,6.2,63
4000000,2370,Topaz,6000000,12/18/1969,18,1969,5.975604,143,Released,Topaz,6.1,77
100000,70478,The Stewardesses,27000000,7/25/1969,25,1969,1.183892,69,Released,The Stewardesses,4.3,5
750000,8416,Il conformista,0,10/21/1970,21,1970,8.429295,107,Released,The Conformist,7.6,127
12000000,11202,Patton,89800000,1/25/1970,25,1970,21.933822,172,Released,Patton,7.3,323
600000,9459,Woodstock,34505110,3/26/1970,26,1970,3.409764,225,Released,Woodstock,7.1,66
25000000,33157,Waterloo,3052000,10/26/1970,26,1970,1.894749,128,Released,Waterloo,7,31
25485000,11165,Tora! Tora! Tora!,29548291,1/26/1970,26,1970,9.795985,144,Released,Tora! Tora! Tora!,6.9,147
3716946,23330,The Ballad of Cable Hogue,5000000,5/13/1970,13,1970,2.676535,121,Released,The Ballad of Cable Hogue,6.9,47
18000000,10364,Catch-22,24911670,6/24/1970,24,1970,4.504377,121,Released,Catch-22,6.7,72
1200000,59917,Cotton Comes to Harlem,0,5/27/1970,27,1970,1.079125,97,Released,Cotton Comes to Harlem,6.7,13
2090000,5722,Beyond the Valley of the Dolls,40000000,7/17/1970,17,1970,4.289003,109,Released,Beyond the Valley of the Dolls,6.6,53
3000000,1685,Beneath the Planet of the Apes,18999718,5/1/1970,1,1970,24.393296,95,Released,Beneath the Planet of the Apes,6.2,361
11000000,42345,The Molly Maguires,2200000,1/27/1970,27,1970,1.396985,124,Released,The Molly Maguires,5.9,16
0,42586,Darling Lili,0,1/1/1970,1,1970,0.816883,107,Released,Darling Lili,4.9,8
9000000,14811,Fiddler on the Roof,83304330,11/3/1971,3,1971,7.623979,181,Released,Fiddler on the Roof,7.4,134
1800000,1051,The French Connection,41158757,10/9/1971,9,1971,15.978136,104,Released,The French Connection,7.4,422
3000000,252,Willy Wonka & the Chocolate Factory,4000000,6/29/1971,29,1971,23.981601,100,Released,Willy Wonka & the Chocolate Factory,7.4,798
0,72086,The Night Visitor,0,1/1/1971,1,1971,0.074005,106,Released,The Night Visitor,7.3,6
6500000,10514,The Andromeda Strain,12376563,3/12/1971,12,1971,12.524953,131,Released,The Andromeda Strain,7,190
2000000,11302,Bananas,11833696,4/28/1971,28,1971,5.941852,82,Released,Bananas,6.7,165
7200000,681,Diamonds Are Forever,116019547,12/13/1971,13,1971,34.634181,120,Released,Diamonds Are Forever,6.3,553
2500000,1687,Escape from the Planet of the Apes,12348905,5/20/1971,20,1971,18.30961,98,Released,Escape from the Planet of the Apes,6.3,264
27000,42497,Pink Narcissus,0,1/1/1971,1,1971,0.027811,64,Released,Pink Narcissus,6,9
150000,5822,Sweet Sweetback's Baadasssss Song,15200000,4/23/1971,23,1971,0.132878,97,Released,Sweet Sweetback's Baadasssss Song,4.6,18
6000000,238,The Godfather,245066411,3/14/1972,14,1972,143.659698,175,Released,The Godfather,8.4,5893
0,10238,Viskningar och rop,0,12/21/1972,21,1972,11.347855,91,Released,Cries and Whispers,7.8,115
0,593,Солярис,0,3/20/1972,20,1972,24.132271,167,Released,Solaris,7.7,357
3500000,573,Frenzy,12600000,5/25/1972,25,1972,10.219942,116,Released,Frenzy,7.1,158
0,14902,1776,0,11/9/1972,9,1972,1.807571,142,Released,1776,7.1,20
2000000,11624,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,18016290,8/6/1972,6,1972,13.223111,88,Released,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6,215
1000000,811,Silent Running,0,3/9/1972,9,1972,11.095414,89,Released,Silent Running,6.3,177
12000,692,Pink Flamingos,6000000,3/12/1972,12,1972,4.553644,93,Released,Pink Flamingos,6.2,110
1700000,1688,Conquest of the Planet of the Apes,9700000,6/29/1972,29,1972,18.828683,88,Released,Conquest of the Planet of the Apes,6.1,236
5500000,9277,The Sting,159616327,12/25/1973,25,1973,28.500913,129,Released,The Sting,7.9,622
8000000,9552,The Exorcist,441306145,12/26/1973,26,1973,47.584643,122,Released,The Exorcist,7.5,2005
5500000,11901,High Plains Drifter,15700000,4/19/1973,19,1973,19.127239,105,Released,High Plains Drifter,7.4,278
4638783,11577,Pat Garrett & Billy the Kid,11000000,5/23/1973,23,1973,4.495256,106,Released,Pat Garrett & Billy the Kid,7.2,65
500000,203,Mean Streets,3000000,10/2/1973,2,1973,17.002096,110,Released,Mean Streets,7.2,345
2000000,11561,Sleeper,18344729,12/17/1973,17,1973,10.664202,89,Released,Sleeper,7,200
777000,838,American Graffiti,140000000,8/1/1973,1,1973,19.326115,110,Released,American Graffiti,6.9,324
7000000,253,Live and Let Die,161777836,7/5/1973,5,1973,30.465138,121,Released,Live and Let Die,6.4,533
1700000,1705,Battle for the Planet of the Apes,8844595,6/15/1973,15,1973,13.315383,93,Released,Battle for the Planet of the Apes,5.5,215
13000000,240,The Godfather: Part II,47542841,12/20/1974,20,1974,105.792936,200,Released,The Godfather: Part II,8.3,3338
2800000,3034,Young Frankenstein,86273333,12/15/1974,15,1974,36.444894,106,Released,Young Frankenstein,7.7,854
1600000,592,The Conversation,4420000,4/7/1974,7,1974,20.810292,113,Released,The Conversation,7.5,372
2600000,11072,Blazing Saddles,119500000,2/7/1974,7,1974,22.793929,93,Released,Blazing Saddles,7.2,609
85000,30497,The Texas Chain Saw Massacre,30859000,10/1/1974,1,1974,29.262427,83,Released,The Texas Chain Saw Massacre,7.2,590
4000000,987,The Front Page,0,12/1/1974,1,1974,4.117968,105,Released,The Front Page,6.9,68
7000000,682,The Man with the Golden Gun,97572000,12/1/1974,1,1974,30.214716,125,Released,The Man with the Golden Gun,6.3,524
0,23069,Benji,0,10/17/1974,17,1974,2.651418,86,Released,Benji,6.1,35
3000000,510,One Flew Over the Cuckoo's Nest,108981275,11/18/1975,18,1975,127.525581,133,Released,One Flew Over the Cuckoo's Nest,8.2,2919
400000,762,Monty Python and the Holy Grail,5028948,3/13/1975,13,1975,64.782984,91,Released,Monty Python and the Holy Grail,7.8,1708
11000000,3175,Barry Lyndon,20000000,12/18/1975,18,1975,29.543331,184,Released,Barry Lyndon,7.7,505
7000000,578,Jaws,470654000,6/18/1975,18,1975,50.152327,124,Released,Jaws,7.5,2542
5000000,11843,The Return of the Pink Panther,41833347,5/21/1975,21,1975,6.470766,113,Released,The Return of the Pink Panther,6.7,137
300000,13282,Death Race 2000,8000000,4/27/1975,27,1975,6.473667,80,Released,Death Race 2000,5.9,124
1300000,103,Taxi Driver,28262574,2/7/1976,7,1976,58.845025,114,Released,Taxi Driver,8,2535
3800000,10774,Network,23689877,11/1/1976,1,1976,17.234745,121,Released,Network,7.7,381
1000000,1366,Rocky,117235147,11/21/1976,21,1976,72.19808,119,Released,Rocky,7.5,1791
2800000,794,The Omen,60922980,6/6/1976,6,1976,25.939385,111,Released,The Omen,7.2,476
35000000,23479,The Bad News Bears,35323292,4/7/1976,7,1976,6.889633,102,Released,The Bad News Bears,6.9,97
2000000,5854,Family Plot,7900000,4/9/1976,9,1976,3.832858,121,Released,Family Plot,6.7,86
0,10970,Silent Movie,0,6/17/1976,17,1976,7.315935,86,Released,Silent Movie,6.7,78
9000000,10803,Logan's Run,25000000,6/23/1976,23,1976,12.268143,119,Released,Logan's Run,6.6,269
0,10786,Robin and Marian,0,3/11/1976,11,1976,3.199904,106,Released,Robin and Marian,6.6,50
11000000,11,Star Wars,775398007,5/25/1977,25,1977,126.393695,121,Released,Star Wars,8.1,6624
4000000,703,Annie Hall,38251425,4/19/1977,19,1977,35.892034,93,Released,Annie Hall,7.8,1010
10000,985,Eraserhead,7000000,3/19/1977,19,1977,20.399578,89,Released,Eraserhead,7.5,485
22000000,38985,Sorcerer,12000000,6/24/1977,24,1977,9.088209,121,Released,Sorcerer,7.4,98
20000000,840,Close Encounters of the Third Kind,303788635,11/16/1977,16,1977,52.456505,135,Released,Close Encounters of the Third Kind,7.2,1098
22000000,5902,A Bridge Too Far,50750000,6/15/1977,15,1977,20.256571,175,Released,A Bridge Too Far,6.9,207
14000000,691,The Spy Who Loved Me,185438673,7/7/1977,7,1977,27.17347,125,Released,The Spy Who Loved Me,6.6,507
3400000,12535,High Anxiety,31063038,12/25/1977,25,1977,5.690619,94,Released,High Anxiety,6.5,84
5000000,11935,Capricorn One,0,12/10/1977,10,1977,11.095219,123,Released,Capricorn One,6.4,131
600000,11598,The Kentucky Fried Movie,0,8/10/1977,10,1977,10.861167,83,Released,The Kentucky Fried Movie,6.4,66
0,42222,Julia,0,10/2/1977,2,1977,6.077735,117,Released,Julia,6.3,30
0,25388,March or Die,0,9/8/1977,8,1977,3.829937,107,Released,March or Die,6.2,16
0,12637,"New York, New York",0,6/21/1977,21,1977,3.876242,155,Released,"New York, New York",6.1,67
500000,30315,Kingdom of the Spiders,17000000,8/24/1977,24,1977,2.537032,97,Released,Kingdom of the Spiders,5.7,30
17000000,25763,Damnation Alley,8720000,9/10/1977,10,1977,2.215261,91,Released,Damnation Alley,5,27
14000000,11586,Exorcist II: The Heretic,30749142,6/17/1977,17,1977,11.543363,118,Released,Exorcist II: The Heretic,4.5,133
0,13963,The Last Waltz,321952,5/1/1978,1,1978,3.277287,117,Released,The Last Waltz,7.9,64
15000000,11778,The Deer Hunter,50000000,12/8/1978,8,1978,19.786392,183,Released,The Deer Hunter,7.8,921
0,16642,Days of Heaven,0,9/13/1978,13,1978,13.857194,94,Released,Days of Heaven,7.6,234
300000,948,Halloween,70000000,10/25/1978,25,1978,30.301307,91,Released,Halloween,7.4,1035
6000000,621,Grease,181813770,7/7/1978,7,1978,67.608041,110,Released,Grease,7.2,1581
2700000,8469,Animal House,141000000,7/27/1978,27,1978,17.332585,109,Released,Animal House,7,418
55000000,1924,Superman,300218018,12/13/1978,13,1978,48.507081,143,Released,Superman,6.9,1022
0,16241,The Boys from Brazil,0,10/5/1978,5,1978,5.315213,125,Released,The Boys from Brazil,6.6,101
5000000,17339,Force 10 from Navarone,7230000,11/1/1978,1,1978,5.348446,118,Released,Force 10 from Navarone,6.4,91
11,28932,F.I.S.T.,11,4/26/1978,26,1978,3.375208,145,Released,F.I.S.T.,6.4,29
20000000,579,Jaws 2,187884007,6/16/1978,16,1978,19.636044,116,Released,Jaws 2,5.9,406
24000000,24961,The Wiz,21049053,10/24/1978,24,1978,2.753313,134,Released,The Wiz,5.9,58
0,41317,Caravans,0,11/2/1978,2,1978,0.633004,127,Released,Caravans,5.8,1
0,77156,Alien Zone,0,11/22/1978,22,1978,0.000372,90,Released,Alien Zone,4,3
31500000,28,Apocalypse Now,89460381,8/15/1979,15,1979,49.973462,153,Released,Apocalypse Now,8,2055
11000000,348,Alien,104931801,5/25/1979,25,1979,94.184658,117,Released,Alien,7.9,4470
0,16858,All That Jazz,37823676,12/20/1979,20,1979,5.159407,123,Released,All That Jazz,7.3,85
8000000,10734,Escape from Alcatraz,43000000,6/22/1979,22,1979,26.356697,111,Released,Escape from Alcatraz,7.2,561
0,11176,The Muppet Movie,76657000,5/31/1979,31,1979,10.639916,97,Released,The Muppet Movie,7,164
2700000,17264,The Black Stallion,37799643,10/17/1979,17,1979,11.35972,118,Released,The Black Stallion,7,59
9250000,16323,The Rose,29174648,11/7/1979,7,1979,7.000949,125,Released,The Rose,6.8,28
400000,9659,Mad Max,100000000,4/12/1979,12,1979,33.142185,93,Released,Mad Max,6.6,1213
6000000,11583,The First Great Train Robbery,0,1/25/1979,25,1979,12.434688,110,Released,The First Great Train Robbery,6.6,74
35000000,152,Star Trek: The Motion Picture,139000000,12/6/1979,6,1979,24.616634,132,Released,Star Trek: The Motion Picture,6.2,530
20000000,9570,The Black Hole,35841901,12/18/1979,18,1979,8.265317,98,Released,The Black Hole,6.1,131
34000000,698,Moonraker,210308099,6/26/1979,26,1979,29.887404,126,Released,Moonraker,5.9,541
35000000,11519,1941,31755742,12/13/1979,13,1979,10.032626,113,Released,1941,5.6,143
